Date,Forecast_Sales,Lower_95CI,Upper_95CI
2025-01-05,139247.0,120419.0,158075.0
2025-01-12,137369.0,108766.0,165972.0
2025-01-19,135685.0,100570.0,170800.0
2025-01-26,134174.0,94091.0,174257.0
2025-02-02,132819.0,88717.0,176920.0
2025-02-09,131603.0,84136.0,179069.0
2025-02-16,130512.0,80160.0,180865.0
2025-02-23,129534.0,76662.0,182406.0
2025-03-02,128657.0,73553.0,183760.0
2025-03-09,127870.0,70766.0,184973.0
2025-03-16,127163.0,68250.0,186077.0
2025-03-23,126530.0,65963.0,187097.0
2025-03-30,125962.0,63873.0,188051.0
